Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Cash and Cash Equivalents,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Investments,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Inventory Held for Resale,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Materials and Supplies Inventory,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Accrued Interest Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Accounts Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Internal Balances,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Intergovernmental Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Prepaid Items,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Income Tax Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Property Taxes Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Special Assessments Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Due from Other Governments,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Notes Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Loans Receivable,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Investment in Joint Venture,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Restricted Assets,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Advances to Other Funds,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Nondepreciable Capital Assets,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Depreciable Capital Assets,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Less Accumulated Depreciation,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Other Assets,,Total Assets
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,,Governmental Activities,,,,Total Deferred Outflows of Resources,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Accounts Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Contracts Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Intergovernmental Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Due to Other Governments,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Matured Compensated Absences,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Matured Interest Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Matured Bonds Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Accrued Interest Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Retainage Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Claims Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Unearned Revenue,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Notes Payable,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,Long Term Liabilities,Due Within One Year,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,Long Term Liabilities,Due In More Than One Year,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Other Liabilities,,Total Liabilities
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,,Governmental Activities,,,,Total Deferred Inflows of Resources,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Unrestricted Deficit,,Total Net Position
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Revenues,,,Charges for Services and Sales,,Total Program Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Revenues,,,Operating Grants Contributions and Interest,,Total Program Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Revenues,,,Capital Grants and Contributions,,Total Program Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Revenues,,,,Total Program Revenues,Total Revenues and Other Items
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Property Taxes,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Income Tax,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Other Taxes,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Grants and Entitlements not Restricted to Specific Programs,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Gain on Sale of Capital Asset,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Payment in Lieu of Taxes,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Unrestricted Contributions,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Investment Earnings,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,Miscellaneous,,Total General Revenues
STATEMENT OF ACTIVITIES,,Governmental Activities,General Revenues,,,,Total General Revenues,Total Revenues and Other Items
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Special Item,,Total Revenues and Other Items
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Extraordinary Item,,Total Revenues and Other Items
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Contribution to Permanent Fund,,Total Revenues and Other Items
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Transfers,,Total Revenues and Other Items
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Total Revenues and Other Items,Change in Net Position
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Expenses,Security of Persons and Property,,Police,,Total Governmental Activities Expenses
