Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Investments,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Other Current Assets,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,,Total Current Assets,Total Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,,Restricted Assets,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,,Other Noncurrent Assets,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,,,Total Noncurrent Assets,Total Assets,,,,
STATEMENT OF NET POSITION,,,Assets,,,,Total Assets,,,,,
STATEMENT OF NET POSITION,,,Net Position,,,Restricted,,Total Net Position,,,,
STATEMENT OF NET POSITION,,,Net Position,,,Unrestricted (Deficit),,Total Net Position,,,,
STATEMENT OF NET POSITION,,,Net Position,,,,Total Net Position,,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Receipts,,,Charges for Sales and Services,,Total Operating Receipts,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Receipts,,,Extracurricular and Classroom Fees,,Total Operating Receipts,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Receipts,,,State Foundation Payments,,Total Operating Receipts,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Receipts,,,Other Operating Receipts,,Total Operating Receipts,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Receipts,,,,Total Operating Receipts,Operating Income (Loss),,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Disbursements,,,Salaries,,Total Operating Disbursements,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Disbursements,,,Fringe Benefits,,Total Operating Disbursements,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Disbursements,,,Purchased Services,,Total Operating Disbursements,,,,
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN NET POSITION",,,Operating Disbursements,,,Materials and Supplies,,Total Operating Disbursements,,,,
