Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Investments,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Accrued Interest Receivable,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Accounts Receivable,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Intergovernmental Receivable,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Prepaid Items,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,Other Current Assets,,Total Current Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Current Assets,,,Total Current Assets,Total Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,,Restricted Assets,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,Capital Assets,Less Accumulated Depreciation,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,,Other Noncurrent Assets,,Total Noncurrent Assets,,,,
STATEMENT OF NET POSITION,,,Assets,Noncurrent Assets,,,Total Noncurrent Assets,Total Assets,,,,
STATEMENT OF NET POSITION,,,Assets,,,,Total Assets,,,,,
STATEMENT OF NET POSITION,,,,,,Total Deferred Outflows of Resources,,Total Current Liabilities,,,,
STATEMENT OF NET POSITION,,,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities,,,,
STATEMENT OF NET POSITION,,,Liabilities,Current Liabilities,,Accrued Wages and Benefits,,Total Current Liabilities,,,,
STATEMENT OF NET POSITION,,,Liabilities,Current Liabilities,,Contracts Payable,,Total Current Liabilities,,,,
STATEMENT OF NET POSITION,,,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities,,,,
STATEMENT OF NET POSITION,,,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities,,,,
