Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
Statement of Net Position,,Governmental Activities,Assets,,,Cash and Cash Equivalents,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Investments,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Inventory Held for Resale,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Materials and Supplies Inventory,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Accrued Interest Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Accounts Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Internal Balances,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Intergovernmental Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Prepaid Items,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Property Taxes Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Special Assessments Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Sales Tax Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Due from Other Governments,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Notes Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Loans Receivable,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Investment in Joint Venture,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Restricted Assets,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Advances to Other Funds,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Nondepreciable Capital Assets,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Depreciable Capital Assets,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Less  Accumulated Depreciaion,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Other Assets,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,Total Deferred Outflows of Resources,,Total Assets
Statement of Net Position,,Governmental Activities,Assets,,,,Total Assets,
Statement of Net Position,,Governmental Activities,Liabilities,,,Accounts Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Contracts Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Intergovernmental Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Due to Other Governments,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Matured Compensated Absences,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Matured Interest Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Matured Bonds Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Accrued Interest Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Retainage Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Claims Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Unearned Revenue,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Notes Payable,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,Long Term Liabilities,,Due Within One Year,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,Long Term Liabilities,,Due In More Than One Year,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,Other Liabilities,,Total Liabilities
Statement of Net Position,,Governmental Activities,Liabilities,,,,Total Liabilities,
Statement of Net Position,,Governmental Activities,Net Position,,,Net Investment in Capital Assets,,Total Net Position
Statement of Net Position,,Governmental Activities,Net Position,,,Restricted,,Total Net Position
Statement of Net Position,,Governmental Activities,Net Position,,,Unrestricted Deficit,,Total Net Position
Statement of Net Position,,Governmental Activities,Net Position,,,,Total Net Position,
Statement of Activities,,Governmental Activities,Program Revenues,,,Charges for Services and Sales,,Total Program Revenues
Statement of Activities,,Governmental Activities,Program Revenues,,,Operating Grants Contributions and Interest,,Total Program Revenues
Statement of Activities,,Governmental Activities,Program Revenues,,,Capital Grants and Contributions,,Total Program Revenues
Statement of Activities,,Governmental Activities,Program Revenues,,,,Total Program Revenues,Total Revenues and Other Items
Statement of Activities,,Governmental Activities,General Revenues,,,Property Taxes,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Sales Taxes,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Other Taxes,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Grants and Entitlements not Restricted to Specific Programs,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Gain on Sale of Capital Asset,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Payment in Lieu of Taxes,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Unrestricted Contributions,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Investment Earnings,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Miscellaneous,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,Other Revenues,,Total General Revenues
Statement of Activities,,Governmental Activities,General Revenues,,,,Total General Revenues,Total Revenues and Other Items
Statement of Activities,,Governmental Activities,,,,Special Item,,Total Revenues and Other Items
Statement of Activities,,Governmental Activities,,,,Extraordinary Item,,Total Revenues and Other Items
Statement of Activities,,Governmental Activities,,,,Contribution to Permanent Fund,,Total Revenues and Other Items
Statement of Activities,,Governmental Activities,,,,Transfers,,Total Revenues and Other Items
Statement of Activities,,Governmental Activities,,,,,Total Revenues and Other Items,Change in Net Position
Statement of Activities,,Governmental Activities,Expenses,General Government,,Legislative and Executive,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,General Government,,Judicial,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Public Safety,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Public Works,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Health,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Human Services,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Conservation and Recreation,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Intergovernmental,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Interest and Fiscal Charges,,Total Governmental Activities Expenses
Statement of Activities,,Governmental Activities,Expenses,,,Depreciation Expense,,Total Governmental Activities Expenses
