Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Investments,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Restricted Assets,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,,Total Assets,,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Restricted,,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Unrestricted (Deficit),,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,Charges for Services and Sales,,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,"Operating Grants, Contributions and Interest",,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,"Capital Grants, Contributions and Interest",,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,,Total Program Receipts,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Property Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Grants and Entitlements not Restricted to Specific Programs,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Proceeds from Sale of Capital Assets,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Payment in Lieu of Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Unrestricted Contributions,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Investment Earnings,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,General Obligation Bonds Issued,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Debt Proceeds,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Miscellaneous,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Receipts,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,,Total General Receipts,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Special Item,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Extraordinary Item,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Contribution to Permanent Fund,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Advances,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Transfers,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Total Receipts and Other Items,Change in Net Position,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Library Services,, Public Service and Programs,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Library Services,, Collection Development and Processing,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Support Services,,Facilities Operation and Maintenance,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Support Services,,Information Services Support,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Support Services,,Business Administration,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Capital Outlay,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Redemption of Principal,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Interest and Other Fiscal Charges,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Issuance Costs,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Other Disbursements,,Total Governmental Activities Expenses,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,,Total Governmental Activities Expenses,Change in Net Position,-,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Change in Net Position,"Net Position, End of Year",,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,"Net Position, Beginning of Year",,"Net Position, End of Year",,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,"Net Position, End of Year",,,,,
BALANCE SHEET,,General,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
BALANCE SHEET,,General,Assets,,,Investments,,Total Assets,,,,
BALANCE SHEET,,General,Assets,,,Restricted Assets,,Total Assets,,,,
BALANCE SHEET,,General,Assets,,,,Total Assets,,,,,
BALANCE SHEET,,General,Fund Balances,,,Nonspendable,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,General,Fund Balances,,,Restricted,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,General,Fund Balances,,,Committed,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,General,Fund Balances,,,Assigned,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,General,Fund Balances,,,Unassigned,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,General,Fund Balances,,,,Total Fund Balances (Deficits),,,,,
BALANCE SHEET,,Total Governmental Funds,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
BALANCE SHEET,,Total Governmental Funds,Assets,,,Investments,,Total Assets,,,,
BALANCE SHEET,,Total Governmental Funds,Assets,,,Restricted Assets,,Total Assets,,,,
BALANCE SHEET,,Total Governmental Funds,Assets,,,,Total Assets,,,,,
BALANCE SHEET,,Total Governmental Funds,Fund Balances,,,Nonspendable,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,Total Governmental Funds,Fund Balances,,,Restricted,,Total Fund Balances (Deficits),,,,
BALANCE SHEET,,Total Governmental Funds,Fund Balances,,,Committed,,Total Fund Balances (Deficits),,,,
