Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Investments,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Inventory Held for Resale,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Materials and Supplies Inventory,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Accrued Interest Receivable,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Accounts Receivable,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Internal Balances,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Intergovernmental Receivable,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Prepaid Items,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Property Taxes Receivable,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Revenue in Lieu of Taxes Receivable,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Due from Other Governments,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Restricted Assets,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Nondepreciable Capital Assets,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Depreciable Capital Assets,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,, LessAccumulated Depreciation,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Other Assets,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,,Total Assets,,,,,
STATEMENT OF NET POSITION,,Governmental Activities,,,,Total Deferred Outflows of Resources,,,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Accounts Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Accrued Wages and Benefits,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Contracts Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Intergovernmental Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Due to Other Governments,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Matured Compensated Absences Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Matured Interest Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Matured Bonds Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Accrued Interest Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Retainage Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Claims Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Unearned Revenue,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Notes Payable,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,Long-Term Liabilities,,Due Within One Year,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,Long-Term Liabilities,,Due In More Than One Year,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,Other Liabilities,,Total Liabilities,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,,Total Liabilities,,,,,
STATEMENT OF NET POSITION,,Governmental Activities,,,,Total Deferred Inflows of Resources,,,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Net Investment in Capital Assets,,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Restricted,,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Unrestricted (Deficit),,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,Charges for Services and Sales,,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,"Operating Grants, Contributions and Interest",,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,"Capital Grants, Contributions and Interest",,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,,Total Program Receipts,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Property Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Grants and Entitlements not Restricted to Specific Programs,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Gain on Sale of Capital Assets,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Payment in Lieu of Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Unrestricted Contributions,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Investment Earnings,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,General Obligation Bonds Issued,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Debt Proceeds,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Miscellaneous,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Receipts,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,,Total General Receipts,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Special Item,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Extraordinary Item,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Contribution to Permanent Fund,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Advances,,Total Receipts and Other Items,,,,
