Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Property Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Other Local Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Library and Local Government Support,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Intergovernmental,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Payments In Lieu of Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Patron Fines and Fees,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Services Provided to Other Entities,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,"Contributions, Gifts and Donations",,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Earnings on Investments,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Miscellaneous,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Other Receipts,,Total Cash Receipts,,,,
