Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Property Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Intergovernmental,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Interest,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,"Licenses, Permits and Fees",,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Fines and Forfeitures,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Rentals,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Charges for Services,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Contributions and Donations,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Special Assessments,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Payments in Lieu of Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Miscellaneous,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,Other Receipts,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Receipts,,,,Total Cash Receipts,Total Cash Receipts Over (Under) Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,General Government,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,Public Safety,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,Public Works,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,Health,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,Economic Development,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,Human Services,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Current,,Conservation and Recreation,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,,,Capital Outlay,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Debt Service,,Principal Retirement,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Debt Service,,Interest and Fiscal Charges,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Debt Service,,Bond Issuance Costs,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,Debt Service,,Other Debt Service,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUND TYPES,General,Cash Disbursements,,,Other Disbursements,,Total Cash Disbursements,,,,
