Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Investments,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,Restricted Assets,,Total Assets,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,,Total Assets,,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Restricted,,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,Unrestricted (Deficit),,Total Net Position,,,,
STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,Charges for Services and Sales,,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,"Operating Grants, Contributions and Interest",,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,"Capital Grants, Contributions and Interest",,Total Program Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Program Receipts,,,,Total Program Receipts,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Property Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Income Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Grants and Entitlements not Restricted to Specific Programs,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Proceeds from Sale of Capital Assets,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Payment in Lieu of Taxes,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Unrestricted Contributions,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Investment Earnings,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,General Obligation Bonds Issued,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Refunding Bonds Issued ,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Debt Proceeds,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Miscellaneous,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,Other Receipts,,Total General Receipts,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,General Receipts,,,,Total General Receipts,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Special Item,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Extraordinary Item,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Contribution to Permanent Fund,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Advances,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,Transfers,,Total Receipts and Other Items,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Total Receipts and Other Items,Change in Net Position,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Security of Persons and Property,,Police,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Security of Persons and Property,,Fire,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Security of Persons and Property,,Other,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Public Health,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Leisure Time Activities,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Community and Economic Development,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Basic Utility Service,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Transportation,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,General Government,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Capital Outlay,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Principal Retirement,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Interest and Fiscal Charges,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Bond Issuance Costs,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,Debt Service,,Other Debt Service,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,Other Disbursements,,Total Governmental Activities Disbursements,,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,Governmental Activities Disbursements,,,,Total Governmental Activities Disbursements,Change in Net Position,-,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,Change in Net Position,"Net Position, End of Year",,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,"Net Position, Beginning of Year",,"Net Position, End of Year",,,,
STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,"Net Position, End of Year",,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Cash and Cash Equivalents,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Investments,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,Restricted Assets,,Total Assets,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,,Total Assets,,,,,
BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,Nonspendable,,Total Fund Balances (Deficits),,,,
