Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup,Sign,Type,HelpString,TestNumber
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Property Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Income Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Special Assessments,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Payments in Lieu of Taxes,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Intergovernmental,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Interest,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,"Fines, Licenses and Permits",,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Rentals,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Charges for Services,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Contributions and Donations,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Miscellaneous,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,Other Receipts,,Total Cash Receipts,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Receipts,,,,Total Cash Receipts,Total Cash Receipts Over (Under) Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Security of Persons and Property,Police,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Security of Persons and Property,Fire,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,Security of Persons and Property,Other,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,,Public Health,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,,Leisure Time Activities,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,,Community and Econcomic Development,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,,Basic Utility Service,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,,Transportation,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Current,,General Government,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,,,Capital Outlay,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Principal Retirement,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Interest and Fiscal Charges,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Bond Issuance Costs,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,Debt Service,,Other Debt Service,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,,,Other Disbursements,,Total Cash Disbursements,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Cash Disbursements,,,,Total Cash Disbursements,Total Cash Receipts Over (Under) Cash Disbursements,-,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,,,,,Total Cash Receipts Over (Under) Cash Disbursements,Net Change in Fund Cash Balances,,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Proceeds from Sale of Capital Assets,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,General Obligation Bonds Issued,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Refunding Bonds Issued,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Premium on Debt Issuance,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Other Debt Proceeds,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Payment to Refunded Bond Escrow Agent,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Advances In,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Advances Out,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Transfers In,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Transfers Out,,Total Other Financing Receipts (Disbursements),,,,
"COMBINED STATEMENT OF CASH RECEIPTS, CASH DISBURSEMENTS, AND CHANGES IN FUND CASH BALANCES",GOVERNMENTAL FUNDS,General,Other Financing Receipts (Disbursements),,,Other Financing Receipts,,Total Other Financing Receipts (Disbursements),,,,
