,,,Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,Next Item
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,,Total Assets,Equal
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,End
STATEMENT OF ACTIVITIES,,Governmental Activities,STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,"Net Position, End of Year",Equal
STATEMENT OF ACTIVITIES,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,End
BALANCE SHEET,GOVERNMENTAL FUNDS,General,BALANCE SHEET,GOVERNMENTAL FUNDS,General,Assets,,,,Total Assets,Equal
BALANCE SHEET,GOVERNMENTAL FUNDS,General,BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,,Total Fund Balances,End
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Assets,,,,Total Assets,Equal
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,,Total Fund Balances,End
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,,,,,"Fund Balances, End of Year",Equal
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,,Total Fund Balances,End
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,"Fund Balances, End of Year",Equal
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,Total Governmental Funds,BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,,Total Fund Balances,End
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,,,,Total Assets,Equal
