,,,Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,Next Item
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,Equal
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Assets,,,,Total Assets,Plus
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,,,,Total Deferred Outflows of Resources,,Minus
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Liabilities,,,,Total Liabilities,Minus
STATEMENT OF NET POSITION,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,,,,Total Deferred Inflows of Resources,,End
STATEMENT OF ACTIVITIES,,Governmental Activities,STATEMENT OF ACTIVITIES,,Governmental Activities,,,,,"Net Position, End of Year",Equal
STATEMENT OF ACTIVITIES,,Governmental Activities,STATEMENT OF NET POSITION,,Governmental Activities,Net Position,,,,Total Net Position,End
BALANCE SHEET,GOVERNMENTAL FUNDS,General,BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,,Total Assets and Deferred Outflows of Resources,Equal
BALANCE SHEET,GOVERNMENTAL FUNDS,General,BALANCE SHEET,GOVERNMENTAL FUNDS,General,,,,,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",End
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Total Assets and Deferred Outflows of Resources,Equal
BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,"Total Liabilities, Deferred Inflows of Resources and Fund Balances",End
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,,,,,"Fund Balances, End of Year",Equal
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,General,BALANCE SHEET,GOVERNMENTAL FUNDS,General,Fund Balances,,,,Total Fund Balances (Deficits),End
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,Total Governmental,"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,Total Governmental,,,,,"Fund Balances, End of Year",Equal
"STATEMENT OF RECEIPTS, DISBURSEMENTS AND CHANGES IN FUND BALANCES",GOVERNMENTAL FUNDS,Total Governmental,BALANCE SHEET,GOVERNMENTAL FUNDS,Total Governmental Funds,Fund Balances,,,,Total Fund Balances (Deficits),End
